"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"STS-83","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald A. Thomas","Cleveland"
"Soyuz TMA-17M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Kosmos 2442","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Apollo 12","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Alan Bean","Wheeler, Texas"
"Progress M-18M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Galaxy 25","Intelsat","Baikonur Cosmodrome Site 81",",",,
"STS-45","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kathryn D. Sullivan","New Jersey"
"STS-26","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard O. Covey","Fayetteville, Arkansas"
"Kosmos 2133","VKS","Baikonur Cosmodrome",",",,
"Bulgaria 1300","Bulgarian Space Agency","Plesetsk Cosmodrome",",",,
"Kosmos 2403","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Mars Observer","JPL","Cape Canaveral Air Force Station",",",,
"STS-72","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Koichi Wakata","Ōmiya, Saitama"
"STS-103","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Claude Nicollier","Switzerland"
"Soyuz TMA-07M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Chris Hadfield","Sarnia"
"Kosmos 2432","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Soyuz TMA-19M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-46","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Andrew M. Allen","Philadelphia"
"STS-118","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dafydd Williams","Saskatchewan"
"Venera 5","Lavochkin","Baikonur Cosmodrome Site 1",",",,
"STS-106","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Terrence W. Wilcutt","Russellville, Kentucky"
"Soyuz TMA-18","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-65","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald A. Thomas","Cleveland"
"Goliat","Romanian Space Agency","Guiana Space Centre",",",,
"CBERS-2B","China National Space Administration","Taiyuan Satellite Launch Center",",",,
"Shenzhou 11","China National Space Administration","Jiuquan Satellite Launch Center","40.96749877929688,100.2983322143555","Chen Dong (astronaut)","Luoyang"
"STS-80","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kent Rominger","Del Norte, Colorado"
"Star One B4","Star One (satellite operator)","ELA-2",",",,
"Yamal 101","Gazprom Space Systems","Baikonur Cosmodrome Site 81",",",,
"STS-51-F","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Anthony W. England","Indianapolis"
"Omid","Iranian Space Agency","Semnan (city)",",",,
"Big Joe 1","NASA","Cape Canaveral Air Force Station",",",,
"Sloshsat-FLEVO","National Aerospace Laboratory","Guiana Space Centre",",",,
"Progress M-52","Roskosmos","Gagarin's Start",",",,
"2001 Mars Odyssey","Jet Propulsion Laboratory","Cape Canaveral Air Force Station",",",,
"STS-29","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert C. Springer","St. Louis, Missouri"
"Lunar Flashlight","NASA","Kennedy Space Center Launch Complex 39",",",,
"STS-94","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Janice E. Voss","South Bend, Indiana"
"Telstar","NASA","Cape Canaveral Air Force Station",",",,
"USA-132","US Air Force","Cape Canaveral Air Force Station",",",,
"Sputnik 40","Rosaviakosmos","Gagarin's Start",",",,
"STS-127","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Thomas Marshburn","North Carolina"
"STS-51-G","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Patrick Baudry","Cameroon"
"STS-61-F","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Lounge","Denver"
"Progress M-56","Roskosmos","Gagarin's Start",",",,
"Gemini 6A","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Wally Schirra","Hackensack, New Jersey"
"Soyuz TMA-17","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-134","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gregory H. Johnson","United Kingdom"
"Himawari 9","Japan Meteorological Agency","Tanegashima Space Center",",",,
"USA-154","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-117","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Frederick W. Sturckow","La Mesa, California"
"Kosmos 2461","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Lunar Orbiter 1","NASA","Cape Canaveral Air Force Station",",",,
"Gemini 4","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","James McDivitt","Chicago"
"Ocean Surface Topography Mission","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"Apollo 16","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John Young (astronaut)","California"
"Alouette 1","Defence Research and Development Canada","Vandenberg Air Force Base",",",,
"Pad Abort 1 (Orion)","NASA","White Sands Missile Range",",",,
"SpaceX CRS-15","SpaceX","SLC-40",",",,
"Gemini 3","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Gus Grissom","Mitchell, Indiana"
"STS-103","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Curtis Brown","Elizabethtown, North Carolina"
"STS-100","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Chris Hadfield","Ontario"
"EChO","ESA","Centre Spatial Guyanais",",",,
"Kosmos 2484","Russian Aerospace Defence Forces","Plesetsk Cosmodrome",",",,
"STS-92","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Brian Duffy (astronaut)","Boston"
"AMSAT-OSCAR 7","AMSAT","Vandenberg Air Force Base",",",,
"Hipparcos","European Space Agency","ELA-2",",",,
"USA-244","US Air Force","Cape Canaveral Air Force Station",",",,
"Vega 1","Soviet Academy of Sciences","Baikonur Cosmodrome",",",,
"Lituanica SAT-2","Vilnius University","Yasny Cosmodrome",",",,
"Soyuz TM-20","Rosaviakosmos","Baikonur Cosmodrome Site 1",",",,
"STS-33","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John E. Blaha","San Antonio, Texas"
"Ares I-X","NASA","Kennedy Space Center Launch Complex 39",",",,
"Soyuz TMA-15M","Roskosmos","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Anton Shkaplerov","Crimea"
"Oceansat-1","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"Bion No.11","Institute of Biomedical Problems","Plesetsk Cosmodrome",",",,
"Kosmos 110","OKB-1","Baikonur Cosmodrome",",",,
"STS-110","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael J. Bloomfield","Flint, Michigan"
"STS-81","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael A. Baker","Memphis, Tennessee"
"STS-133","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Steven Lindsey","Arcadia, California"
"STS-52","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael A. Baker","Memphis, Tennessee"
"Kosmos 2494","Russian Aerospace Defence Forces","Plesetsk Cosmodrome Site 43",",",,
"Saturn I SA-5","NASA","Cape Canaveral Air Force Station",",",,
"Coriolis (satellite)","AFRL","Vandenberg Air Force Base",",",,
"Ørsted (satellite)","Danish Meteorological Institute","Vandenberg Air Force Base",",",,
"Arabsat-1A","Arab Satellite Communications Organization","Guiana Space Centre",",",,
"STS-5","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Vance D. Brand","Longmont, Colorado"
"OPS 5113","US Air Force","Vandenberg Air Force Base",",",,
"NSS-9","SES S.A.","Guiana Space Centre",",",,
"Galileo (spacecraft)","NASA","Kennedy Space Center Launch Complex 39",",",,
"STS-75","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Scott J. Horowitz","Pennsylvania"
"Intelsat 23","Intelsat","Baikonur Cosmodrome Site 81",",",,
"Samos 4","US Air Force","Point Arguello",",",,
"Iridium 7","Iridium Satellite LLC","Vandenberg Air Force Base",",",,
"Türksat 3A","Turksat (company)","Guiana Space Centre",",",,
"Navid (satellite)","Iranian Space Agency","Semnan (city)",",",,
"Discoverer 28","United States Air Force","Vandenberg Air Force Base",",",,
"STS-56","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kenneth D. Cameron","Cleveland"
"JCSAT-RA","SKY Perfect JSAT Group","Guiana Space Centre",",",,
"F-1 (satellite)","FPT University","Tanegashima Space Center",",",,
"SPICA (spacecraft)","European Space Agency","Tanegashima Space Center",",",,
"STS-61-C","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert J. Cenker","Uniontown, Pennsylvania"
"Soyuz TMA-7","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"DSN-2","SKY Perfect JSAT Group","Yoshinobu Launch Complex",",",,
"Cluster (spacecraft)","European Space Agency","Guiana Space Centre",",",,
"TDRS-10","NASA","Cape Canaveral Air Force Station",",",,
"Tianlian I-01","China Aerospace Science and Technology Corporation","Xichang Satellite Launch Center",",",,
"STS-110","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Rex J. Walheim","Redwood City, California"
"STS-41-D","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles D. Walker","Bedford, Indiana"
"Planck (spacecraft)","European Space Agency","Guiana Space Centre",",",,
"Progress M-53","Roskosmos","Gagarin's Start",",",,
"Soyuz TMA-07M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Roman Romanenko","Soviet Union"
"JCSAT-1","JSAT Corporation","ELA-2",",",,
"STS-49","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kevin P. Chilton","California"
"Soyuz TM-19","Rosaviakosmos","Baikonur Cosmodrome Site 1",",",,
"Kosmos 605","Institute of Biomedical Problems","Plesetsk Cosmodrome",",",,
"GSAT-17","Indian National Satellite System","Guiana Space Centre",",",,
"OPS 5118","US Air Force","Vandenberg Air Force Base",",",,
"STS-83","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael L. Gernhardt","Mansfield, Ohio"
"Soyuz TMA-19","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-51-L","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Judith Resnik","Akron, Ohio"
"STS-68","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Thomas David Jones","Baltimore, Maryland"
"Einstein Observatory","NASA","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"Soyuz TMA-11","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Mariner 10","Jet Propulsion Laboratory","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"IKAROS","JAXA","Tanegashima Space Center",",",,
"Nanosat-1B","Instituto Nacional de Técnica Aeroespacial","Baikonur Cosmodrome Site 109",",",,
"CASSIOPE","MacDonald, Dettwiler and Associates","Vandenberg Air Force Base",",",,
"STS-101","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Scott J. Horowitz","Pennsylvania"
"Sputnik 1","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"STS-64","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark C. Lee","Viroqua, Wisconsin"
"ST-1","Chunghwa Telecom","ELA-2",",",,
"STS-96","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Rick Husband","Amarillo, Texas"
"Kosmos 2501","Russian Aerospace Defence Forces","Plesetsk Cosmodrome",",",,
"Kosmos 2419","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Intelsat 29e","Intelsat","Guiana Space Center",",",,
"Spektr-RG","European Space Agency","Baikonur Cosmodrome Site 45",",",,
"Mars Cube One","NASA","Vandenberg Air Force Base",",",,
"Soyuz 11","Soviet space program","Gagarin's Start","45.9202766418457,63.34222030639648","Viktor Patsayev","Aktyubinsk"
"Mars 5","Lavochkin","Baikonur Cosmodrome Site 81",",",,
"USA-180","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-64","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Susan Helms","Charlotte, North Carolina"
"Progress M-22M","Roskosmos","Gagarin's Start",",",,
"Superbird-A1","SSL (company)","ELA-2",",",,
"PROCYON","University of Tokyo","Tanegashima Space Center",",",,
"Superbird-C2","SKY Perfect JSAT Group","Guiana Space Centre",",",,
"GSAT-5P","Indian Space Research Organisation","Satish Dhawan Space Centre Second Launch Pad",",",,
"Mercury-Atlas 3","NASA","Cape Canaveral Air Force Station",",",,
"STS-121","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephanie Wilson","Massachusetts"
"Discoverer 35","United States Air Force","Vandenberg Air Force Base",",",,
"Skynet 5D","Astrium Services","Guiana Space Centre",",",,
"AeroCube 3","The Aerospace Corporation","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Space Technology Research Vehicle","Ministry of Defense (United Kingdom)","Guiana Space Center",",",,
"STS-33","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sonny Carter","Macon, Georgia"
"Soyuz TMA-20M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Chang'e 5","China National Space Administration","Wenchang Satellite Launch Center",",",,
"Discoverer 18","United States Air Force","Vandenberg Air Force Base",",",,
"STS-95","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Chiaki Mukai","Tatebayashi, Gunma"
"PLATO (spacecraft)","ESA","Ensemble de Lancement Soyouz",",",,
"STS-65","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Leroy Chiao","Milwaukee"
"Kounotori 9","JAXA","Tanegashima Space Center",",",,
"Kosmos 2500","Russian Aerospace Defence Forces","Plesetsk Cosmodrome Site 43",",",,
"STS-51-J","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David C. Hilmers","Clinton, Iowa"
"Graham (satellite)","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Progress M-55","Roskosmos","Gagarin's Start",",",,
"STS-101","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James S. Voss","Cordova, Alabama"
"Kosmos 2499","Government of Russia","Plesetsk Cosmodrome",",",,
"STS-48","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark N. Brown","Valparaiso, Indiana"
"STS-62","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Andrew M. Allen","Richboro, Pennsylvania"
"STS-93","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michel Tognini","Vincennes"
"Apollo 10","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Eugene Cernan","Illinois"
"Vermont Lunar CubeSat","Vermont Technical College","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Edoardo Amaldi ATV","European Space Agency","Guiana Space Centre",",",,
"Kosmos 2155","VKS","Baikonur Cosmodrome Site 81",",",,
"UGATUSAT","Ufa State Aviation Technical University","Baikonur Cosmodrome",",",,
"CUTE-1.7 + APD II","Tokyo Institute of Technology","Satish Dhawan Space Centre",",",,
"Kosmos 2464","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"IMS-1","Indian Space Research Organisation","Satish Dhawan Space Centre Second Launch Pad",",",,
"Soyuz MS-02","Roskosmos","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Andrei Borisenko","Russia"
"STS-112","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Piers Sellers","United Kingdom"
"STS-41-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert L. Gibson","Cooperstown, New York"
"CBERS-4","China National Space Administration","Taiyuan Satellite Launch Center",",",,
"Hot Bird 7","Eutelsat","Guiana Space Centre",",",,
"STS-51-L","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dick Scobee","Cle Elum, Washington"
"SES-9","SES S.A.","Cape Canaveral Air Force Station",",",,
"Amazonas 3","Hispasat","Guiana Space Centre",",",,
"STS-72","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Winston E. Scott","Miami"
"STS-101","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Susan Helms","Charlotte, North Carolina"
"Venera 2","OKB-1","Baikonur Cosmodrome",",",,
"UoSAT-12","University of Surrey","Baikonur Cosmodrome Site 109",",",,
"STS-99","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kevin R. Kregel","Amityville, New York"
"STS-96","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Tamara E. Jernigan","Chattanooga, Tennessee"
"Saturn I SA-3","NASA","Cape Canaveral Air Force Station",",",,
"STS-9","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Owen K. Garriott","Enid, Oklahoma"
"STS-106","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Yuri Malenchenko","Soviet Union"
"USA-231","Operationally Responsive Space Office","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"STS-121","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Steven Lindsey","Arcadia, California"
"Biosatellite program","NASA","Cape Canaveral Air Force Station",",",,
"Progress M-05M","Roskosmos","Gagarin's Start",",",,
"STS-78","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert Thirsk","British Columbia"
"Progress MS-05","Roscosmos State Corporation","Baikonur Cosmodrome",",",,
"Pioneer 11","NASA","Cape Canaveral Air Force Station",",",,
"Nimiq-4","Telesat Canada","Baikonur Cosmodrome",",",,
"Banxing","China Aerospace Science and Technology Corporation","Jiuquan Satellite Launch Center",",",,
"GSAT-18","Indian National Satellite System","Guiana Space Centre",",",,
"Rubin-8","OHB-System","Satish Dhawan Space Centre Second Launch Pad",",",,
"GSAT-12","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"PSLV-C6","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"Ginrei","Shinshu University","Tanegashima Space Center",",",,
"STS-51-A","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dale Gardner","Fairmont, Minnesota"
"Intelsat 28","Intelsat","Guiana Space Centre",",",,
"STS-30","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark C. Lee","Viroqua, Wisconsin"
"STS-103","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael Foale","Louth, Lincolnshire"
"STS-92","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael López-Alegría","Spain"
"STS-31","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Bruce McCandless II","Boston"
"SwissCube-1","Ecole Polytechnique Fédérale de Lausanne","Satish Dhawan Space Centre",",",,
"Astra 1B","SES S.A.","ELA-2",",",,
"STS-69","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David M. Walker (astronaut)","Columbus, Georgia"
"Azerspace-1/Africasat-1a","Azercosmos","Guiana Space Centre",",",,
"Discoverer 37","United States Air Force","Vandenberg Air Force Base",",",,
"STS-9","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert A. Parker","New York City"
"Soyuz TMA-21","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Prospero (satellite)","Royal Aircraft Establishment","Woomera Launch Area 5",",",,
"STS-82","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gregory J. Harbaugh","Cleveland, Ohio"
"STS-76","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael R. Clifford","Norton Air Force Base"
"Mars 4","Lavochkin","Baikonur Cosmodrome Site 81",",",,
"AAUSAT3","University of Aalborg","Satish Dhawan Space Centre",",",,
"STS-47","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark C. Lee","Wisconsin"
"IRNSS-1A","ISRO","Satish Dhawan Space Centre",",",,
"STS-135","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sandra Magnus","Belleville, Illinois"
"Navstar 7","US Air Force","Vandenberg Air Force Base",",",,
"Ranger 1","NASA","Cape Canaveral Air Force Station",",",,
"STS-51-F","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Loren Acton","Lewistown, Montana"
"STS-51-J","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Karol J. Bobko","New York (state)"
"STS-124","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael E. Fossum","Sioux Falls, South Dakota"
"SMART-1","European Space Agency","Guiana Space Centre",",",,
"Ofek-10","Ministry of Defense (Israel)","Palmachim Airbase",",",,
"GOES 1","National Oceanic and Atmospheric Administration","Cape Canaveral Air Force Station",",",,
"ARSAT-2","ARSAT","Guiana Space Centre",",",,
"STS-41-C","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James van Hoften","California"
"STS-132","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kenneth Ham","Plainfield, New Jersey"
"Explorer 33","NASA","Cape Canaveral Air Force Station",",",,
"A-003","NASA","White Sands Missile Range",",",,
"STS-126","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert S. Kimbrough","Killeen, Texas"
"Eutelsat 8 West C","Eutelsat","Cape Canaveral Air Force Station",",",,
"Türksat 2A","Turksat (company)","ELA-2",",",,
"Eutelsat 3D","Eutelsat","Baikonur Cosmodrome",",",,
"STS-127","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark L. Polansky","Paterson, New Jersey"
"STS-133","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephen Bowen (astronaut)","Cohasset, Massachusetts"
"IRS-P3","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"Kwangmyŏngsŏng-2","Korean Committee of Space Technology","Tonghae Satellite Launching Ground",",",,
"Venera 13","Soviet Academy of Sciences","Baikonur Cosmodrome",",",,
"Ranger 7","NASA","Cape Canaveral Air Force Station",",",,
"USA-178","US Air Force","Cape Canaveral Air Force Station",",",,
"Megha-Tropiques","CNES","Satish Dhawan Space Centre",",",,
"Ginga (satellite)","Institute of Space and Astronautical Science","Uchinoura Space Center",",",,
"Progress M-62","Roskosmos","Gagarin's Start",",",,
"Deimos-2","Deimos Space","Dombarovsky (air base)",",",,
"Samos 3","US Air Force","Point Arguello",",",,
"Yamal-401","Gazprom Space Systems","Baikonur Cosmodrome Site 81",",",,
"Intelsat II F-2","Intelsat","Cape Canaveral Air Force Station",",",,
"Hayabusa","JAXA","Uchinoura Space Center",",",,
"Progress M-48","Roskosmos","Gagarin's Start",",",,
"Mercury-Redstone BD","NASA","Cape Canaveral Air Force Station",",",,
"NOAA-4","NOAA","Vandenberg Air Force Base",",",,
"STS-114","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Soichi Noguchi","Japan"
"STS-56","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ellen Ochoa","California"
"JEM-EUSO","JAXA","Tanegashima Space Center",",",,
"Chang'e 2","China National Space Administration","Xichang Satellite Launch Center",",",,
"STS-41-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert L. Stewart","Washington, D.C."
"Transit Research and Attitude Control","United States Navy","Cape Canaveral Air Force Station",",",,
"Discoverer 1","US Air Force","Vandenberg Air Force Base",",",,
"BSAT-2c","Broadcasting Satellite System Corporation","Guiana Space Center",",",,
"Intelsat 15","Intelsat","Baikonur Cosmodrome Site 45",",",,
"STS-78","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Susan Helms","Charlotte, North Carolina"
"USA-196","US Air Force","Cape Canaveral Air Force Station",",",,
"Eutelsat 16B","Eutelsat","ELA-2",",",,
"AMC-6","GE Americom","Baikonur Cosmodrome Site 81",",",,
"STS-91","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles J. Precourt","Waltham, Massachusetts"
"Mikhailo Lomonosov (satellite)","Moscow State University","Vostochny Cosmodrome",",",,
"STS-125","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael J. Massimino","Oceanside, New York"
"Sparkie (satellite)","Arizona State University","Cape Canaveral Air Force Station",",",,
"STS-105","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Scott J. Horowitz","Pennsylvania"
"STS-88","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Nancy J. Currie","Wilmington, Delaware"
"USA-80","US Air Force","Cape Canaveral Air Force Station",",",,
"Kitsat-3","KAIST","Sriharikota Launching Range",",",,
"Emirates Mars Mission","Mohammed bin Rashid Space Centre","Tanegashima Space Center",",",,
"STS-121","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Lisa Nowak","Washington, D.C."
"INSAT-4B","Indian Space Research Organisation","Guiana Space Centre",",",,
"Star One C3","Star One (satellite operator)","Guiana Space Centre",",",,
"AMC-11","SES World Skies","Cape Canaveral Air Force Station",",",,
"KySat-1","Kentucky Space","Vandenberg Air Force Base",",",,
"Hiten","Institute of Space and Astronautical Science","Uchinoura Space Center",",",,
"Nilesat 101","Nilesat","ELA-2",",",,
"Soyuz MS-02","Roskosmos","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Robert S. Kimbrough","Killeen, Texas"
"STS-69","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kenneth Cockrell","Austin, Texas"
"Kosmos 2433","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"AS-104 (spacecraft)","NASA","Cape Canaveral Air Force Station",",",,
"Kosmos 2394","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Intelsat 27","Intelsat","Pacific Ocean",",",,
"Astra 2F","SES S.A.","Guiana Space Centre",",",,
"NSS-6","New Skies Satellites","ELA-2",",",,
"Discoverer 31","United States Air Force","Vandenberg Air Force Base",",",,
"Landsat 4","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"PasComSat","US Air Force","Vandenberg Air Force Base",",",,
"STS-32","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Daniel Brandenstein","Watertown, Wisconsin"
"Intelsat 20","Intelsat","Guiana Space Centre",",",,
"STSAT-2B","Korea Aerospace Research Institute","Naro Space Center",",",,
"Kosmos 2458","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
