"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"Mercury-Redstone 3","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Alan Shepard","Derry, New Hampshire"
"BSAT-3b","Broadcasting Satellite System Corporation","Guiana Space Center",",",,
"CP6 (satellite)","California Polytechnic State University","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Exploration Mission 2","NASA","Kennedy Space Center Launch Complex 39",",",,
"STS-122","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stanley G. Love","San Diego"
"Amos-3","Spacecom","Baikonur Cosmodrome Site 45",",",,
"STS-53","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert D. Cabana","Minneapolis, Minnesota"
"STS-62","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles D. Gemar","Yankton, South Dakota"
"A-001","NASA","White Sands Missile Range",",",,
"STS-61-M","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark C. Lee","Viroqua, Wisconsin"
"STS-109","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James H. Newman","Federated States of Micronesia"
"Apollo 15","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David Scott","San Antonio"
"STS-122","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephen Frick","Pittsburgh"
"Intelsat 11","Intelsat","Guiana Space Centre",",",,
"USA-150","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-87","NASA","Kennedy Space Center Launch Complex 39",",",,
"Shenzhou 11","China National Space Administration","Jiuquan Satellite Launch Center","40.96055603027344,100.2983322143555","Jing Haipeng","Yuncheng"
"Student Nitric Oxide Explorer","NASA","Vandenberg AFB",",",,
"PSLV-C35","ISRO","Satish Dhawan Space Centre First Launch Pad",",",,
"JCSAT-1B","SKY Perfect JSAT Group","ELA-2",",",,
"European Lunar Explorer","ARCA (NGO)","High-altitude balloon",",",,
"STS-98","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Marsha Ivins","Baltimore"
"STS-67","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Tamara E. Jernigan","Chattanooga, Tennessee"
"TacSat-1","NRL","Omelek Island",",",,
"STS-7","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Fabian","Goose Creek, Texas"
"High Energy Astronomy Observatory 1","NASA","Launch Complex 36",",",,
"Ekspress AM6","Russian Satellite Communications Company","Baikonur Cosmodrome Site 81",",",,
"AS-105 (spacecraft)","NASA","Cape Canaveral Air Force Station",",",,
"Chang'e 3","China National Space Administration","Xichang Satellite Launch Center",",",,
"STS-115","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Christopher Ferguson","Pennsylvania"
"Ralphie (satellite)","Space Test Program","Cape Canaveral Air Force Station",",",,
